@relation binary

@attribute "50kg" numeric
@attribute "additional" numeric
@attribute "advocate" numeric
@attribute "amount" numeric
@attribute "breathing" numeric
@attribute "bulk" numeric
@attribute "bulking" numeric
@attribute "calorie" numeric
@attribute "calories" numeric
@attribute "carbs" numeric
@attribute "college" numeric
@attribute "cut" numeric
@attribute "daily" numeric
@attribute "dangerous" numeric
@attribute "day" numeric
@attribute "deficit" numeric
@attribute "diet" numeric
@attribute "dominant" numeric
@attribute "eat" numeric
@attribute "eating" numeric
@attribute "feels" numeric
@attribute "forward" numeric
@attribute "gain" numeric
@attribute "gaining" numeric
@attribute "grip" numeric
@attribute "hamstrings" numeric
@attribute "hanging" numeric
@attribute "hold" numeric
@attribute "hours" numeric
@attribute "idea" numeric
@attribute "imbalances" numeric
@attribute "improve" numeric
@attribute "leaning" numeric
@attribute "leg" numeric
@attribute "likely" numeric
@attribute "lockout" numeric
@attribute "losing" numeric
@attribute "lunges" numeric
@attribute "meal" numeric
@attribute "muscle" numeric
@attribute "per" numeric
@attribute "protein" numeric
@attribute "push" numeric
@attribute "r" numeric
@attribute "rope" numeric
@attribute "saying" numeric
@attribute "still" numeric
@attribute "week" numeric
@attribute "will" numeric
@attribute "workout" numeric
@attribute CLASS {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
