@relation binary

@attribute "lifting" numeric
@attribute "lifter" numeric
@attribute "after" numeric
@attribute "healthy" numeric
@attribute "happened" numeric
@attribute "fruit" numeric
@attribute "veggies" numeric
@attribute "hurt" numeric
@attribute "male" numeric
@attribute "heavy" numeric
@attribute "eating" numeric
@attribute "strong" numeric
@attribute "pain" numeric
@attribute "my" numeric
@attribute "ask" numeric
@attribute "following" numeric
@attribute "overweight" numeric
@attribute "sugar" numeric
@attribute "stretches" numeric
@attribute "consume" numeric
@attribute "his" numeric
@attribute "pressure" numeric
@attribute "sl5x5" numeric
@attribute "intense" numeric
@attribute "occasional" numeric
@attribute "result" numeric
@attribute "worse" numeric
@attribute "matters" numeric
@attribute "state" numeric
@attribute "mixed" numeric
@attribute "dangerous" numeric
@attribute "negative" numeric
@attribute "sign" numeric
@attribute "interested" numeric
@attribute "college" numeric
@attribute "doesn" numeric
@attribute "serious" numeric
@attribute "sore" numeric
@attribute "felt" numeric
@attribute "main" numeric
@attribute "re" numeric
@attribute "this" numeric
@attribute "compared" numeric
@attribute "too" numeric
@attribute "found" numeric
@attribute "deadlifts" numeric
@attribute "meal" numeric
@attribute "very" numeric
@attribute "normal" numeric
@attribute "myself" numeric
@attribute "anything" numeric
@attribute "breath" numeric
@attribute "tight" numeric
@attribute "safe" numeric
@attribute "meals" numeric
@attribute "couldn" numeric
@attribute "holding" numeric
@attribute "sick" numeric
@attribute "carb" numeric
@attribute "stress" numeric
@attribute "otherwise" numeric
@attribute "knees" numeric
@attribute "difficult" numeric
@attribute "hurting" numeric
@attribute "ab" numeric
@attribute "switch" numeric
@attribute "flat" numeric
@attribute "machines" numeric
@attribute "heavier" numeric
@attribute "using" numeric
@attribute "damage" numeric
@attribute "whey" numeric
@attribute "happens" numeric
@attribute "biceps" numeric
@attribute "several" numeric
@attribute "okay" numeric
@attribute "ok" numeric
@attribute "weigh" numeric
@attribute "fine" numeric
@attribute "bench" numeric
@attribute "day" numeric
@attribute "thinking" numeric
@attribute "adjustable" numeric
@attribute "beat" numeric
@attribute "managed" numeric
@attribute "1g" numeric
@attribute "recommends" numeric
@attribute "learning" numeric
@attribute "purposes" numeric
@attribute "correctly" numeric
@attribute "moderate" numeric
@attribute "calf" numeric
@attribute "50%" numeric
@attribute "improving" numeric
@attribute "dark" numeric
@attribute "insulin" numeric
@attribute "cico" numeric
@attribute "sugars" numeric
@attribute "tonight" numeric
@attribute "depression" numeric
@attribute "rules" numeric
@attribute "exhausted" numeric
@attribute "unhealthy" numeric
@attribute "describe" numeric
@attribute "loose" numeric
@attribute "4000" numeric
@attribute "60%" numeric
@attribute "faint" numeric
@attribute "stars" numeric
@attribute "cope" numeric
@attribute "preface" numeric
@attribute "buddy" numeric
@attribute "extend" numeric
@attribute "grasp" numeric
@attribute "overcome" numeric
@attribute "father" numeric
@attribute "joined" numeric
@attribute "4-6" numeric
@attribute "screw" numeric
@attribute "protect" numeric
@attribute "future" numeric
@attribute "210" numeric
@attribute "throat" numeric
@attribute "advised" numeric
@attribute "product" numeric
@attribute "nutritional" numeric
@attribute "facts" numeric
@attribute "succeed" numeric
@attribute "shakes" numeric
@attribute "thrown" numeric
@attribute "combination" numeric
@attribute "proven" numeric
@attribute "pointers" numeric
@attribute "confident" numeric
@attribute "rice" numeric
@attribute "cheat" numeric
@attribute "u" numeric
@attribute "cramp" numeric
@attribute "popped" numeric
@attribute "condition" numeric
@attribute "injured" numeric
@attribute "competitive" numeric
@attribute "prevent" numeric
@attribute "nerve" numeric
@attribute "mentions" numeric
@attribute "desk" numeric
@attribute "precise" numeric
@attribute "evenings" numeric
@attribute "afford" numeric
@attribute "technically" numeric
@attribute "stopped" numeric
@attribute "dizzy" numeric
@attribute "lowered" numeric
@attribute "contain" numeric
@attribute "calisthenics" numeric
@attribute "skip" numeric
@attribute "legs" numeric
@attribute "find" numeric
@attribute "bad" numeric
@attribute "usually" numeric
@attribute "would" numeric
@attribute "started" numeric
@attribute "anymore" numeric
@attribute "degree" numeric
@attribute "ready" numeric
@attribute "progression" numeric
@attribute "wake" numeric
@attribute "amp" numeric
@attribute "faster" numeric
@attribute "overhead" numeric
@attribute "generally" numeric
@attribute "wearing" numeric
@attribute "added" numeric
@attribute "switching" numeric
@attribute "consider" numeric
@attribute "number" numeric
@attribute "pull-ups" numeric
@attribute "link" numeric
@attribute "energy" numeric
@attribute "sets" numeric
@attribute "year" numeric
@attribute "every" numeric
@attribute "diet" numeric
@attribute "decided" numeric
@attribute "programs" numeric
@attribute "did" numeric
@attribute "couple" numeric
@attribute "eat" numeric
@attribute "end" numeric
@attribute "then" numeric
@attribute "does" numeric
@attribute "that" numeric
@attribute "ago" numeric
@attribute "you" numeric
@attribute "seem" numeric
@attribute "move" numeric
@attribute "recovery" numeric
@attribute "nutrition" numeric
@attribute "lifts" numeric
@attribute "workout" numeric
@attribute "other" numeric
@attribute "cross" numeric
@attribute "gyms" numeric
@attribute "relatively" numeric
@attribute "recommendations" numeric
@attribute "floor" numeric
@attribute "cable" numeric
@attribute "lat" numeric
@attribute "live" numeric
@attribute "based" numeric
@attribute "somewhat" numeric
@attribute "saw" numeric
@attribute "dieting" numeric
@attribute "stomach" numeric
@attribute "incline" numeric
@attribute "equal" numeric
@attribute "below" numeric
@attribute "ideas" numeric
@attribute "access" numeric
@attribute "weekend" numeric
@attribute "higher" numeric
@attribute "assistance" numeric
@attribute "1rm" numeric
@attribute "ground" numeric
@attribute "pick" numeric
@attribute "school" numeric
@attribute "increase" numeric
@attribute "benefits" numeric
@attribute "standing" numeric
@attribute "variation" numeric
@attribute "chicken" numeric
@attribute "evening" numeric
@attribute "healthier" numeric
@attribute "understanding" numeric
@attribute "happen" numeric
@attribute "afterwards" numeric
@attribute "mental" numeric
@attribute "considered" numeric
@attribute "gets" numeric
@attribute "response" numeric
@attribute "focusing" numeric
@attribute "detrimental" numeric
@attribute "actual" numeric
@attribute "2000" numeric
@attribute "six" numeric
@attribute "athletic" numeric
@attribute "term" numeric
@attribute "account" numeric
@attribute "breathing" numeric
@attribute "together" numeric
@attribute "whether" numeric
@attribute "perfect" numeric
@attribute "grow" numeric
@attribute "background" numeric
@attribute "bed" numeric
@attribute "effects" numeric
@attribute "consuming" numeric
@attribute "constantly" numeric
@attribute "amount" numeric
@attribute "gaining" numeric
@attribute "just" numeric
@attribute "week" numeric
@attribute "old" numeric
@attribute "ups" numeric
@attribute "haven" numeric
@attribute "guy" numeric
@attribute "gym" numeric
@attribute "aren" numeric
@attribute "house" numeric
@attribute "shed" numeric
@attribute "lifted" numeric
@attribute "properly" numeric
@attribute "20%" numeric
@attribute "25" numeric
@attribute "setting" numeric
@attribute "2nd" numeric
@attribute "sort" numeric
@attribute "benefit" numeric
@attribute "maintaining" numeric
@attribute "option" numeric
@attribute "24" numeric
@attribute "app" numeric
@attribute "topic" numeric
@attribute "although" numeric
@attribute "classes" numeric
@attribute "dips" numeric
@attribute "distance" numeric
@attribute "realized" numeric
@attribute "bands" numeric
@attribute "anywhere" numeric
@attribute "accessory" numeric
@attribute "pulling" numeric
@attribute "summer" numeric
@attribute "failed" numeric
@attribute "fail" numeric
@attribute "related" numeric
@attribute "trainer" numeric
@attribute "meat" numeric
@attribute "dedicated" numeric
@attribute "benching" numeric
@attribute CLASS {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
