@relation binary

@attribute "buy" numeric
@attribute "anymore" numeric
@attribute "garage" numeric
@attribute "recommendations" numeric
@attribute "live" numeric
@attribute "looking" numeric
@attribute "amp" numeric
@attribute "fat" numeric
@attribute "muscle" numeric
@attribute "bands" numeric
@attribute "wear" numeric
@attribute "pieces" numeric
@attribute "apparently" numeric
@attribute "excercising" numeric
@attribute "hex" numeric
@attribute "sell" numeric
@attribute "expert" numeric
@attribute "android" numeric
@attribute "version" numeric
@attribute "pull-up" numeric
@attribute "spent" numeric
@attribute "setup" numeric
@attribute "raw" numeric
@attribute "purchase" numeric
@attribute "bar" numeric
@attribute "equipment" numeric
@attribute "main" numeric
@attribute "strength" numeric
@attribute "squat" numeric
@attribute "extremely" numeric
@attribute "become" numeric
@attribute "pick" numeric
@attribute "used" numeric
@attribute "muscles" numeric
@attribute "every" numeric
@attribute "always" numeric
@attribute "any" numeric
@attribute "3" numeric
@attribute "d" numeric
@attribute "throughout" numeric
@attribute "day" numeric
@attribute "having" numeric
@attribute "cut" numeric
@attribute "membership" numeric
@attribute "worth" numeric
@attribute "lifestyle" numeric
@attribute "levels" numeric
@attribute "us" numeric
@attribute "tldr" numeric
@attribute "trouble" numeric
@attribute "thick" numeric
@attribute "options" numeric
@attribute "involve" numeric
@attribute "similar" numeric
@attribute "got" numeric
@attribute "deadlift" numeric
@attribute "after" numeric
@attribute "suggestions" numeric
@attribute "machines" numeric
@attribute "too" numeric
@attribute "school" numeric
@attribute "however" numeric
@attribute "leg" numeric
@attribute "done" numeric
@attribute "want" numeric
@attribute "2....365" numeric
@attribute "365" numeric
@attribute "chinups" numeric
@attribute "31st" numeric
@attribute "expect" numeric
@attribute "havent" numeric
@attribute "cheers" numeric
@attribute "clear" numeric
@attribute "isnt" numeric
@attribute "00" numeric
@attribute "shoe" numeric
@attribute "lacrosse" numeric
@attribute "treds" numeric
@attribute "ultra" numeric
@attribute "$30" numeric
@attribute "texas" numeric
@attribute "wallet" numeric
@attribute "bare" numeric
@attribute "humidity" numeric
@attribute "rogue" numeric
@attribute "ohio" numeric
@attribute "stainless" numeric
@attribute "price" numeric
@attribute "florida" numeric
@attribute "humid" numeric
@attribute "60-90%" numeric
@attribute "annually" numeric
@attribute "rust" numeric
@attribute "zinc" numeric
@attribute "anyways" numeric
@attribute "south" numeric
@attribute "upkeep" numeric
@attribute "coat" numeric
@attribute "3-in-1" numeric
@attribute "alternating" numeric
@attribute "motivated" numeric
@attribute "longer...when" numeric
@attribute "toot" numeric
@attribute "horn" numeric
@attribute "compliments" numeric
@attribute "motions" numeric
@attribute "lucky" numeric
@attribute "cables" numeric
@attribute "versions" numeric
@attribute "resistant" numeric
@attribute "estimating" numeric
@attribute "concerns" numeric
@attribute "est" numeric
@attribute "45-60min" numeric
@attribute "700-900" numeric
@attribute "atleast" numeric
@attribute "130-150" numeric
@attribute "trimmer" numeric
@attribute "hoodie" numeric
@attribute "137-150" numeric
@attribute "70%" numeric
@attribute "estimates" numeric
@attribute "350-450" numeric
@attribute "calculate" numeric
@attribute "gender" numeric
@attribute "entered" numeric
@attribute "duration" numeric
@attribute "avg.hr" numeric
@attribute "revolving" numeric
@attribute "land" numeric
@attribute "bars](https" numeric
@attribute "www.amazon.com/valor-fitness-super-hex-trap/dp/b016nagtve/ref=sr_1_8?ie=utf8&amp;qid=1511849794&amp;sr=8-8&amp;keywords=hex+trap+bar" numeric
@attribute "bumper" numeric
@attribute "chance" numeric
@attribute "damaging" numeric
@attribute "stops" numeric
@attribute "surface" numeric
@attribute "landing" numeric
@attribute "bumpers" numeric
@attribute "living" numeric
@attribute "parents" numeric
@attribute "hating" numeric
@attribute "pains" numeric
@attribute "portion...my" numeric
@attribute "lately" numeric
@attribute "biggest" numeric
@attribute "mom" numeric
@attribute "cooks" numeric
@attribute "nights" numeric
@attribute "delicious" numeric
@attribute "healthiest" numeric
@attribute "responsibility" numeric
@attribute "especial" numeric
@attribute "posted" numeric
@attribute "received" numeric
@attribute "expensive" numeric
@attribute "concept" numeric
@attribute "rowers" numeric
@attribute "highly" numeric
@attribute "saving" numeric
@attribute "reputable" numeric
@attribute "second-hand" numeric
@attribute "listings" numeric
@attribute "ebay" numeric
@attribute "gumtree" numeric
@attribute "hesitant" numeric
@attribute "guarantee" numeric
@attribute "quality" numeric
@attribute "rare" numeric
@attribute "mod" numeric
@attribute "swimmer" numeric
@attribute "eve" numeric
@attribute "local" numeric
@attribute "tradition" numeric
@attribute "hot" numeric
@attribute "coast" numeric
@attribute "supporting" numeric
@attribute "charity" numeric
@attribute "craic" numeric
@attribute "meeting" numeric
@attribute "zest" numeric
@attribute "flavour" numeric
@attribute "well-being" numeric
@attribute "occurs" numeric
@attribute "displaces" numeric
@attribute "lessens" numeric
@attribute "repetition" numeric
@attribute "unlike" numeric
@attribute "called" numeric
@attribute "addicts" numeric
@attribute "prep" numeric
@attribute "improvements" numeric
@attribute "slump" numeric
@attribute "oldies" numeric
@attribute "ya" numeric
@attribute "50+" numeric
@attribute "you're" numeric
@attribute "coworkers" numeric
@attribute "members" numeric
@attribute "omfg" numeric
@attribute "29yo" numeric
@attribute "lifesum" numeric
@attribute "smartwatch" numeric
@attribute "guesses" numeric
@attribute "doable" numeric
@attribute "enticed" numeric
@attribute "specific(which" numeric
@attribute "eeks" numeric
@attribute "asks" numeric
@attribute "medium" numeric
@attribute "plops" numeric
@attribute "logging" numeric
@attribute "iphone" numeric
@attribute "sheet" numeric
@attribute "fits" numeric
@attribute "funky" numeric
@attribute "trim" numeric
@attribute "trims" numeric
@attribute "1928" numeric
@attribute "pic](https" numeric
@attribute "imgur.com/75d1xy5" numeric
@attribute "sufficiently" numeric
@attribute "deep" numeric
@attribute "accommodate" numeric
@attribute "awkwardly" numeric
@attribute "dwelling" numeric
@attribute "bolt" numeric
@attribute "rent" numeric
@attribute "deposit" numeric
@attribute "amazon" numeric
@attribute "success" numeric
@attribute "houses" numeric
@attribute "mechanical" numeric
@attribute "advantage" numeric
@attribute "pulleys" numeric
@attribute "cable-based" numeric
@attribute "calibrated" numeric
@attribute "passes" numeric
@attribute "occur" numeric
@attribute "capable" numeric
@attribute "pulley" numeric
@attribute "micro" numeric
@attribute "smallest" numeric
@attribute "1.25kg" numeric
@attribute "2.5kg" numeric
@attribute "tad" numeric
@attribute "0.625kg" numeric
@attribute "non-plate" numeric
@attribute "chains" numeric
@attribute "wrap" numeric
@attribute "lay" numeric
@attribute "smth" numeric
@attribute "sounds" numeric
@attribute "wack" numeric
@attribute "tbh" numeric
@attribute "allegies" numeric
@attribute "weighttraining" numeric
@attribute "treadmills" numeric
@attribute "starter" numeric
@attribute "pins" numeric
@attribute "needles" numeric
@attribute "itchy" numeric
@attribute "happening" numeric
@attribute "sensations" numeric
@attribute "continues" numeric
@attribute "annoying" numeric
@attribute "worrying" numeric
@attribute "allergies" numeric
@attribute "allergy" numeric
@attribute "piece" numeric
@attribute "deciding" numeric
@attribute "ghd" numeric
@attribute "www.titan.fitness" numeric
@attribute "gym-equipment" numeric
@attribute "other-gym-equipment" numeric
@attribute "glute-hamstring-developer" numeric
@attribute "glute-hamstring-developer.html" numeric
@attribute "dual" numeric
@attribute "hyperextension" numeric
@attribute "dual-hyperextension.html" numeric
@attribute "hyperextensions" numeric
@attribute "albeit" numeric
@attribute "effectively" numeric
@attribute "hyper" numeric
@attribute "nordic" numeric
@attribute "ham" numeric
@attribute "hams" numeric
@attribute "atg" numeric
@attribute "gifted" numeric
@attribute "10cm" numeric
@attribute "13mm" numeric
@attribute "taxing" numeric
@attribute "lbbs" numeric
@attribute "ribs" numeric
@attribute "wlers" numeric
@attribute "tapered" numeric
@attribute "belts" numeric
@attribute "oly" numeric
@attribute "resale" numeric
@attribute "trade" numeric
@attribute CLASS {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
